" State of Utah [UDOT, UNH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,110,2,120,7,,130,6,205,10,310,1,0,0,,,,,245,3,45,2,"1,035",17,300,6,33,13,151,12,120,3,480,5," State of Utah [UDOT, UNH]",180,3,270,3,195,4,975,3,0,0,60,1,285,2,150,3," State of Utah [UDOT, UNH]",375,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,3,755,4,,,,,,,720,4,46,8,1,1,240,3,450,6,Other states,60,2,135,4,225,7,450,4,90,4,210,6,195,4,150,4,Other states,105,3
Total: Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,,,,"1,644",37,785,20,"3,585",26,,"2,095",46,"1,110",31,"1,590",22,630,11,"1,980",20,"7,145",11,"2,945",21,390,9,"2,250",29,"1,500",21,174,45,289,23,"1,395",19,"3,750",28,Total: Other,"9,270",22,"4,645",43,"1,845",31,"3,375",22,"1,965",19,"4,050",22,930,14,"2,040",22,Total: Other,"2,385",30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SERVICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,100",105,"20,256",147,"7,007",185,"7,787",127,"10,665",184,,"9,255",231,"19,556",273,"8,830",124,"8,722",131,"8,315",87,"11,020",78,"7,395",105,"5,230",54,"9,600",103,"20,760",89,"11,971",123,"2,485",151,"10,214",73,"11,310",111,TOTAL SERVICE,"24,465",120,"11,530",120,"17,115",191,"9,300",93,"14,685",96,"13,960",131,"7,875",109,"12,760",159.00,TOTAL SERVICE,"15,555.00",169
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                               ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISITORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VISITATION,,,,,,,,,,,,,,,,,VISITATION,,
Utah State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utah State University,,,,,Faculty,Students,Faculty,Students,Faculty,Students,,,,,Faculty/Staff,Students,Utah State University,Faculty/Staff,Students
 Biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55, ,55,,,,32,,25,,43,,34,,18,,28,,55,,32,,42,,29,,14,,26,,7,,23, Biology,,27,,32,9,4,12,19,20,17,17,37,4,9,11,9, Biology,11,12
 Fisheries & Wildlife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19, ,18,,,,17,,46,,13,,40,,32,,53,,53,,82,,110,,126,,83,,96,,92,,68,Natural Resources,,63,,29,11,27,15,24,25,57,11,40,20,16,20,35,Natural Resources,19,15
 Landscape Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10, ,14,,,,11,,15,,14,,7,,11,,5,,,,6,,5,,7,,5,,7,,0,,7, Landscape Architecture,,3,,6,0,0,0,0,0,3,0,2,0,6,0,6, Landscape Architecture,0,1
" Plants, Soils, & Biometeorology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,  ,18,,,,15,,25,,4,,24,,36,,7,,6,,1,,8,,68,,13,,63,,3,,17," Plants, Soils, & Biometeorology",,49,,23,5,19,4,6,3,16,3,6,0,27,0,27," Plants, Soils, & Biometeorology",2,34
 Extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1, ,2,,,,5,,2,,1,,2,,2,,1,,8,,,,,,2,,1,,2,,1,,2, Extension,,4,,8,4,0,6,0,3,0,6,0,4,0,6,0, Extension,3,0
 Miscellaneous U.S.U.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,27,,30,,17,,12,,30,,41,,19,,2,,29,,20,,34,,73,,59, Miscellaneous U.S.U.,,34,,26,8,23,16,11,9,18,12,51,4,75,4,125, Miscellaneous U.S.U.,4,68
Total: Utah State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,73,,63,,96,,107,,,,137,,140,,105,,124,,111,,124,,163,,140,,167,,261,,136,,228,,176,,176,Total: Utah State University,,176,,124,37,73,53,60,60,111,47,136,32,133,41,202,Total: Utah State University,39,130
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Agencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal Agencies,,,,,,,,,,,,,,,,,Federal Agencies,,
 U.S.D.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,37,,,,28,,19,,,,51,,26,,32,,25,,24,,30,,27,,17,,19,,32,,81,,48,,40,,75, U.S.D.A.,,47,,32,,17,,17,,22,,37,,11,,18, U.S.D.A.,,15
 U.S.D.I.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,1,,6,,,,3,,0,,3,,2,,,,1,,46,,4,,,,16,,9,,2,,9,,3, U.S.D.I.,,2,,19,,1,,3,,2,,3,,1,,1, U.S.D.I.,,0
Total: Federal Agencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,37,,,,29,,25, ,,,54, ,26,,35,,27,,24,,31,,73,,21,,19,,46,,90,,50,,49,,78,Total: Federal Agencies,,49,,51,,18,,20,,24,,30,,12,,19,Total: Federal Agencies,,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
